#ZVView-data-copy:  25-Jan-2019 04:42:21
#=======================================
#
#name:   79-AU-197(N,G)79-AU-198,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  2424
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          1e-8            0          156            0  # 1964,E.Haddad+           ## 12196003
      1.338e-8            0        135.6      0.04113  # 1990,S.Yamamoto+         ## 22196003
      1.338e-8            0       133.46       3.3168  # 1996,S.Yamamoto+         ## 22370004
        1.5e-8            0          125            0  # 1964,E.Haddad+           ## 12196003
      1.503e-8            0        133.6      0.03788  # 1990,S.Yamamoto+         ## 22196003
      1.503e-8            0       125.39       3.1009  # 1996,S.Yamamoto+         ## 22370004
      1.686e-8            0        121.3      0.03554  # 1990,S.Yamamoto+         ## 22196003
      1.686e-8            0       118.05       2.9068  # 1996,S.Yamamoto+         ## 22370004
      1.893e-8            0        116.7      0.03313  # 1990,S.Yamamoto+         ## 22196003
      1.893e-8            0       112.12       2.7514  # 1996,S.Yamamoto+         ## 22370004
          2e-8            0          108            0  # 1964,E.Haddad+           ## 12196003
      2.126e-8            0          109      0.03159  # 1990,S.Yamamoto+         ## 22196003
      2.126e-8            0       105.71       2.5882  # 1996,S.Yamamoto+         ## 22370004
       2.14e-8            0          104            8  # 1975,E.A.Pavlenko+       ## 40464002
       2.32e-8            0         98.5            6  # 1975,E.A.Pavlenko+       ## 40464002
      2.387e-8            0        102.2      0.03043  # 1990,S.Yamamoto+         ## 22196003
      2.387e-8            0       100.55       2.4574  # 1996,S.Yamamoto+         ## 22370004
        2.5e-8            0           98            0  # 1964,E.Haddad+           ## 12196003
       2.52e-8            0        100.3            5  # 1975,E.A.Pavlenko+       ## 40464002
       2.53e-8            0         98.2          0.5  # 1961,J.W.Meadows+        ## 11028024
       2.53e-8            0         98.8          0.3  # 1960,F.T.Gould+          ## 11198004
       2.53e-8            0         98.7          0.6  # 1953,R.S.Carter+         ## 11211005
       2.53e-8            0         96.5          0.7  # 1954,R.G.Allen+          ## 11762006
       2.53e-8            0         98.5            2  # 1968,S.J.Friesenhahn+    ## 12163012
       2.53e-8            0         98.8          0.3  # 1956,W.W.Havens Jr+      ## 12674002
       2.53e-8            0         98.6          0.2  # 1964,J.Als-Nielsen+      ## 20105006
       2.53e-8            0         99.3          1.5  # 1960,R.B.Tattersall+     ## 20638062
       2.53e-8            0         98.8          1.7  # 1965,Lu Hanlin+          ## 30914002
       2.53e-8            0        97.47         0.64  # 2010,B.J.B.Nyarko+       ## 31698004
      2.679e-8            0         93.9      0.02951  # 1990,S.Yamamoto+         ## 22196003
      2.679e-8            0       94.746       2.3124  # 1996,S.Yamamoto+         ## 22370004
       2.74e-8            0          108            4  # 1975,E.A.Pavlenko+       ## 40464002
       2.99e-8            0         85.9          2.5  # 1975,E.A.Pavlenko+       ## 40464002
          3e-8            0           89            0  # 1964,E.Haddad+           ## 12196003
      3.009e-8            0        89.59      0.02881  # 1990,S.Yamamoto+         ## 22196003
      3.009e-8            0       89.488       2.1816  # 1996,S.Yamamoto+         ## 22370004
       3.29e-8            0         90.7            2  # 1975,E.A.Pavlenko+       ## 40464002
      3.378e-8            0        83.73      0.02826  # 1990,S.Yamamoto+         ## 22196003
      3.378e-8            0       84.399       2.0561  # 1996,S.Yamamoto+         ## 22370004
       3.62e-8            0         80.8          1.9  # 1975,E.A.Pavlenko+       ## 40464002
      3.791e-8            0        81.48      0.02782  # 1990,S.Yamamoto+         ## 22196003
