I_0(puA) E_n(eV) r(m) flux(/cm^2s) flux(/cm^2s)err

0.02 0.025 2.0 8.9 1.1
0.02 0.025 5.0 1.42 0.17
0.02 0.025 10.0 0.355 0.042
0.02 1.e+6 2.0 1.12e+4 1.3e+3
0.02 1.e+6 5.0 1.80e+3 2.1e+2
0.02 1.e+6 10.0 4.49e+2 5.3e+1

0.7 0.025 2.0 3.11e+2 3.7e+1
0.7 0.025 5.0 49.8 5.9
0.7 0.025 10.0 12.4 1.5
0.7 1.e+6 2.0 3.93e+5 4.6e+4
0.7 1.e+6 5.0 6.29e+4 7.4e+3
0.7 1.e+6 10.0 1.57e+4 1.9e+3

3.0 0.025 2.0 1.33e+3 1.6e+2
3.0 0.025 5.0 2.13e+2 2.5e+1
3.0 0.025 10.0 53.3 6.3
3.0 1.e+6 2.0 1.69e+6 2.0e+5
3.0 1.e+6 5.0 2.70e+5 3.2e+4
3.0 1.e+6 10.0 6.74e+4 8.0e+3
